,Equal Weighted,Optimized ESG (tau=0.1),Optimized ESG (tau=0.5)
003670,0.016666666666666666,7.081768320873589e-06,1.852223263791502e-05
139480,0.016666666666666666,5.089934636559875e-06,7.016707235174647e-09
111770,0.016666666666666666,1.9490903002331717e-06,4.445461568378955e-06
073240,0.016666666666666666,3.2362736314843364e-06,5.9138030645681e-09
004370,0.016666666666666666,0.21397059533332885,0.21420833793017163
006400,0.016666666666666666,3.390674445761203e-06,7.5334651667453196e-06
055550,0.016666666666666666,7.908272354649333e-06,1.3860285188387655e-05
036460,0.016666666666666666,6.402552321283561e-06,1.4500664785077988e-05
030200,0.016666666666666666,0.18375544576944206,0.1838401950511856
028670,0.016666666666666666,1.6196438416862051e-06,1.6677804089799868e-09
021240,0.016666666666666666,6.93790915447798e-06,1.411461428332829e-05
009150,0.016666666666666666,3.8673197088862134e-06,3.9061486069537374e-09
011200,0.016666666666666666,1.3904299717505612e-06,2.4420848538612198e-09
001740,0.016666666666666666,9.13607948089813e-06,1.8967645467334817e-05
282330,0.016666666666666666,6.042641749569757e-06,1.2392783232789104e-05
128940,0.016666666666666666,2.3961101238724607e-06,4.79482157711357e-06
078930,0.016666666666666666,4.4580291020869754e-07,4.965878849785328e-10
023530,0.016666666666666666,5.329409797740652e-06,7.221564671638212e-09
251270,0.016666666666666666,6.079547143094073e-07,2.66352170158743e-09
007070,0.016666666666666666,1.2607469277387976e-07,8.328234335537788e-07
012330,0.016666666666666666,4.868599028303368e-06,4.743894906397637e-09
034220,0.016666666666666666,0.01809559793217257,0.018531554101458562
032640,0.016666666666666666,7.148576880095739e-06,1.5750012393101126e-05
004990,0.016666666666666666,1.0019597567390884e-05,1.4791982014900043e-08
018880,0.016666666666666666,3.93914837438418e-06,4.217052624056028e-09
005930,0.016666666666666666,0.2990396581964681,0.29926891907679093
000660,0.016666666666666666,8.844702739446904e-06,8.632824574399093e-09
207940,0.016666666666666666,0.042860695305320905,0.04286085672052329
005380,0.016666666666666666,3.217421827131208e-06,1.202300189938499e-09
000270,0.016666666666666666,5.020826258596801e-06,5.24816381765132e-09
068270,0.016666666666666666,5.227222502388524e-07,1.5832733259061156e-09
005490,0.016666666666666666,1.2037091339481344e-06,2.117667238122852e-09
051910,0.016666666666666666,5.772032094712285e-06,1.5390440452125805e-05
035420,0.016666666666666666,6.138259205693537e-07,1.7977357571465909e-06
028260,0.016666666666666666,3.1059331283691087e-06,2.786113722165569e-09
105560,0.016666666666666666,4.491512532010658e-06,7.85063270023342e-06
035720,0.016666666666666666,6.255256309149521e-06,1.3241776455655392e-05
032830,0.016666666666666666,1.691640572970647e-06,2.0154203671433105e-09
086790,0.016666666666666666,6.894716281779217e-06,9.221071132765519e-09
066570,0.016666666666666666,3.640258937603622e-06,4.903531107610991e-09
018260,0.016666666666666666,6.768234695810023e-06,8.685348371930016e-09
017670,0.016666666666666666,0.0003637217167896352,0.00036327510192829597
096770,0.016666666666666666,7.209183317394295e-07,2.106723368424924e-06
316140,0.016666666666666666,0.23964934916628114,0.2397920785200089
012450,0.016666666666666666,5.017309875617024e-07,1.4206849340549671e-06
352820,0.016666666666666666,1.1560940708856815e-06,2.7854152201993558e-09
010130,0.016666666666666666,8.740372980736975e-06,1.8701706323522432e-05
010950,0.016666666666666666,1.0988149147027096e-06,3.6425866969983093e-06
003490,0.016666666666666666,3.106228724531217e-07,1.63775869937356e-06
010140,0.016666666666666666,5.067876470486264e-06,1.0946323219918039e-05
326030,0.016666666666666666,5.545052259941466e-07,6.989718148440534e-07
090430,0.016666666666666666,3.130831615600783e-07,1.8427815131803604e-07
161390,0.016666666666666666,3.09975247270466e-06,4.0412007216811614e-09
051900,0.016666666666666666,0.0023815202972476807,0.0012050060578035428
097950,0.016666666666666666,2.4371375858186084e-06,3.3397404785089652e-06
036570,0.016666666666666666,5.884666318407806e-06,1.5776899272550366e-05
011780,0.016666666666666666,5.209411322524336e-07,2.102242552019589e-09
004800,0.016666666666666666,2.94737459689194e-07,2.620698730785153e-07
KOSPI,0.016666666666666666,,
ESG_ETF,0.016666666666666666,,
