,Equal Weighted,Optimized ESG (tau=0.1),Optimized ESG (tau=0.5)
003670,0.015384615384615385,6.55593695535797e-05,3.287999473177879e-05
139480,0.015384615384615385,8.779701007823847e-08,2.7656093606852883e-08
111770,0.015384615384615385,1.523774957847313e-07,4.834142839888968e-08
073240,0.015384615384615385,3.490054333684374e-07,1.1180808221638961e-07
004370,0.015384615384615385,0.08794540660284776,0.08811173789701067
006400,0.015384615384615385,6.136920571607124e-05,3.044088369466853e-05
055550,0.015384615384615385,0.18755944913710154,0.18460339976434548
036460,0.015384615384615385,4.424179696697679e-05,2.2345932893083194e-05
030200,0.015384615384615385,0.16875244534145045,0.16980133235146244
028670,0.015384615384615385,6.738787142171612e-08,2.0996564883711998e-08
021240,0.015384615384615385,8.402337429665636e-05,4.1854114996310755e-05
009150,0.015384615384615385,2.8734184187398584e-07,9.188777618792149e-08
011200,0.015384615384615385,4.38269562948322e-07,1.4007224810278825e-07
361610,0.015384615384615385,6.638749950171142e-07,2.1077955379357006e-07
001740,0.015384615384615385,4.826827546599935e-06,3.1272940879260704e-06
282330,0.015384615384615385,0.06114749185442601,0.0619133060038775
128940,0.015384615384615385,8.163049430908566e-05,4.086069900045615e-05
078930,0.015384615384615385,1.5066124721284858e-07,4.817297183756556e-08
023530,0.015384615384615385,4.831142485436589e-05,2.4444049122941665e-05
251270,0.015384615384615385,0.00016844382603787485,8.362778998442124e-05
302440,0.015384615384615385,1.8062247270943227e-07,5.741372554866626e-08
007070,0.015384615384615385,0.00018034830490658115,8.963135082087244e-05
012330,0.015384615384615385,1.1844439113672395e-05,6.95192970841046e-06
034220,0.015384615384615385,0.00011887709619574845,5.863814604061422e-05
032640,0.015384615384615385,2.0029730076864472e-07,6.478290938255701e-08
004990,0.015384615384615385,2.660941042082798e-07,8.493143269596618e-08
018880,0.015384615384615385,1.8607667722862695e-07,5.9040554285685826e-08
005930,0.015384615384615385,0.23111062912093452,0.2292120003569341
000660,0.015384615384615385,2.2798329526469589e-07,7.295470892673817e-08
207940,0.015384615384615385,0.0002905161035523213,0.00014349926450765873
005380,0.015384615384615385,0.00019745780025157684,9.76266165927502e-05
000270,0.015384615384615385,7.102239184591637e-08,2.2258803812080766e-08
068270,0.015384615384615385,3.1855302379076875e-05,1.633873579902148e-05
005490,0.015384615384615385,1.0811108292141615e-07,3.337741723650821e-08
051910,0.015384615384615385,2.762102616269033e-07,8.688226462924802e-08
035420,0.015384615384615385,3.5473132973320877e-07,1.1318784109794181e-07
028260,0.015384615384615385,8.863915931661111e-06,4.860238952499976e-06
105560,0.015384615384615385,1.6782013176276408e-07,5.2373007781655167e-08
035720,0.015384615384615385,8.608827533868091e-08,2.7697990363806836e-08
032830,0.015384615384615385,5.169157426561227e-05,2.5815950520708996e-05
086790,0.015384615384615385,1.1783551680075704e-06,3.743131570029968e-07
066570,0.015384615384615385,3.7222279384966203e-07,1.1821935040166468e-07
323410,0.015384615384615385,3.5759710871960215e-07,1.1403138983853671e-07
018260,0.015384615384615385,2.7879036050571e-08,9.06056207340338e-09
259960,0.015384615384615385,5.190591400527246e-07,1.658427380733394e-07
017670,0.015384615384615385,0.2652026205248422,0.2671843039250998
096770,0.015384615384615385,3.183579509306276e-07,1.0119389838636429e-07
316140,0.015384615384615385,3.213026759151057e-07,1.0143719610542075e-07
012450,0.015384615384615385,3.270976243341309e-05,1.6936984619230653e-05
352820,0.015384615384615385,4.6402095152479155e-07,1.4757652777810782e-07
010130,0.015384615384615385,0.00012926779523588384,6.408879523243799e-05
010950,0.015384615384615385,8.184018808084276e-05,4.043283444875653e-05
003490,0.015384615384615385,1.223380331089989e-07,3.8953307066269694e-08
010140,0.015384615384615385,0.0001286463767980104,6.374929835286818e-05
326030,0.015384615384615385,9.363511521786927e-05,4.664291315388816e-05
090430,0.015384615384615385,2.8390381080737395e-05,1.4622248881315257e-05
161390,0.015384615384615385,0.00013553284072530036,6.691294180498762e-05
051900,0.015384615384615385,0.00025168994262257687,0.00012458449858604578
377300,0.015384615384615385,7.46555278836802e-07,2.3796081741722473e-07
097950,0.015384615384615385,0.00015529215473757704,7.740390849725182e-05
036570,0.015384615384615385,1.2708673846699098e-07,4.1274188708888984e-08
011780,0.015384615384615385,9.628717404387426e-07,3.0634033991752635e-07
004800,0.015384615384615385,1.3961605874932028e-08,4.511115333340759e-09
KOSPI,0.015384615384615385,,
ESG_ETF,0.015384615384615385,,
