,Equal Weighted,Optimized ESG (tau=0.1),Optimized ESG (tau=0.5)
003670,0.015151515151515152,0.002912469720521534,0.0035102644287508594
139480,0.015151515151515152,2.604407289174442e-05,1.556984344458369e-05
111770,0.015151515151515152,5.7001158653971375e-05,2.876464186300471e-05
073240,0.015151515151515152,4.843357627393983e-08,3.2969310402975962e-06
004370,0.015151515151515152,0.07874353517342345,0.07871367710776943
006400,0.015151515151515152,4.665420455442941e-05,2.3623949421127536e-05
055550,0.015151515151515152,3.2437555838825235e-07,2.673865831267752e-05
036460,0.015151515151515152,1.3558475140182888e-05,5.793985973231366e-06
030200,0.015151515151515152,0.06766770084077675,0.06761407935038123
028670,0.015151515151515152,2.1327184644489374e-07,1.573782047936772e-05
021240,0.015151515151515152,2.150334041938999e-07,1.7037996273367582e-05
009150,0.015151515151515152,2.3054151924755748e-05,1.0887125714443009e-05
011200,0.015151515151515152,6.753788074458157e-08,2.3837374567910115e-06
361610,0.015151515151515152,0.01629734933079609,0.015522057242717217
001740,0.015151515151515152,2.993964730928658e-05,1.1968073379000197e-05
282330,0.015151515151515152,1.577803952463259e-05,6.897421238540209e-06
128940,0.015151515151515152,2.550408879395063e-05,1.2858387714449924e-05
078930,0.015151515151515152,5.24710500943757e-07,3.937782570808143e-05
023530,0.015151515151515152,4.495228522379819e-05,1.6287886490091344e-05
251270,0.015151515151515152,4.1860563414110574e-07,2.7926566918246475e-05
302440,0.015151515151515152,2.1036634986063262e-08,1.6138232534226073e-06
007070,0.015151515151515152,3.471869547107344e-08,3.053190450940824e-06
012330,0.015151515151515152,5.771616209040809e-08,2.6098209838619305e-06
034220,0.015151515151515152,1.5975417186177066e-07,1.269911349415433e-05
032640,0.015151515151515152,0.00014619941297046952,4.403074831872225e-05
004990,0.015151515151515152,3.6791280580648704e-07,2.7116080139714867e-05
018880,0.015151515151515152,2.347810332198008e-08,5.672244782797404e-06
005930,0.015151515151515152,0.08660750474420803,0.08621563477000496
000660,0.015151515151515152,4.0616223028504643e-08,2.826334225655379e-06
373220,0.015151515151515152,1.9807351339446833e-05,2.5976714569015124e-05
207940,0.015151515151515152,0.07020985484998912,0.0690665610273139
005380,0.015151515151515152,0.00013803389217883097,6.041379079280323e-05
000270,0.015151515151515152,9.837849334649507e-05,4.933589727451188e-05
068270,0.015151515151515152,3.8628216334663113e-07,2.7355715640995944e-05
005490,0.015151515151515152,5.6831078779864514e-05,3.7242016513112614e-05
051910,0.015151515151515152,0.00012284179619273335,6.196215513120802e-05
035420,0.015151515151515152,9.047087619925582e-06,1.5366702808510888e-06
028260,0.015151515151515152,0.2267059949982593,0.22588751456413483
105560,0.015151515151515152,5.547474569690813e-07,4.703282340694743e-06
035720,0.015151515151515152,2.0507429374183138e-07,1.6426417071380248e-05
032830,0.015151515151515152,0.09843077473806373,0.09914864150215971
086790,0.015151515151515152,2.969643843595054e-07,2.4609752450955094e-05
066570,0.015151515151515152,2.1211601085148474e-07,1.5994602960381253e-05
323410,0.015151515151515152,9.990549742563236e-07,7.520255692071457e-05
018260,0.015151515151515152,9.922479037536997e-05,4.275035304399983e-05
259960,0.015151515151515152,6.908576748204494e-08,2.8049656197253293e-06
017670,0.015151515151515152,0.2902773157803027,0.2918532052220705
096770,0.015151515151515152,9.308134899069576e-05,5.13357725924802e-05
316140,0.015151515151515152,0.06366490417418103,0.06302620026798503
012450,0.015151515151515152,0.0001267095045825357,5.479283028072225e-05
352820,0.015151515151515152,7.790460771990519e-05,3.89451806309864e-05
010130,0.015151515151515152,4.2963602831167175e-05,2.2338694596571722e-05
010950,0.015151515151515152,3.614343281687824e-05,8.746831912637986e-06
003490,0.015151515151515152,7.253370429584069e-05,3.104601999202999e-05
010140,0.015151515151515152,2.7494963052450664e-05,1.5168433178522736e-05
326030,0.015151515151515152,3.496204393437582e-08,3.5711115363929707e-06
090430,0.015151515151515152,2.6723704969910255e-07,2.173224501107723e-05
161390,0.015151515151515152,1.3650856972070248e-07,8.956106407471305e-06
051900,0.015151515151515152,2.2389695377447097e-07,1.8534622331617133e-05
377300,0.015151515151515152,8.52382645785086e-07,6.38701746030088e-05
097950,0.015151515151515152,3.757725197681149e-05,6.449895820247601e-06
036570,0.015151515151515152,3.99487401324075e-08,1.638981432025285e-06
011780,0.015151515151515152,8.988466907807877e-08,6.530527647920059e-06
004800,0.015151515151515152,1.840874734967142e-07,1.482084409644546e-05
KOSPI,0.015151515151515152,,
ESG_ETF,0.015151515151515152,,
