날짜,KOSPI,ESG ETF,Equal Weighted Portfolio,Optimized ESG Portfolio (tau=0.597)
2020-01-02,-0.01023811582266676,-0.0117647058823529,-0.013136833177093913,-0.0116658743448186
2020-01-03,0.0005930570943879498,0.0,-0.0014158245873424386,-0.003992914258436899
2020-01-06,-0.009827885649173362,-0.006627393225331346,-0.011213962369902299,-0.014387261927888953
2020-01-07,0.009498531370210728,0.007289350135903039,0.011683737499656713,0.011739231980200064
2020-01-08,-0.011137464721402535,-0.005642094934379949,-0.02090983498084059,-0.01476514562914528
2020-01-09,0.016334233560016953,0.011964968545701282,0.00913022577498839,0.0015908823234185097
2020-01-10,0.009119806078346171,0.008410531448074021,0.004881216456041254,0.00373122446789732
2020-01-13,0.010365347921265311,0.010516136830653888,0.010074225957192848,0.013238770471090363
2020-01-14,0.004315333339314442,0.013636363636363669,0.00692493045187474,0.0054931439328829365
2020-01-15,-0.0035285499892804273,-0.009794666037290511,0.00042863878921275966,0.0026219449501452834
2020-01-16,0.007651346045235874,0.0005958765343820893,-0.0007841740470853917,-0.0026958166480712544
2020-01-17,0.0011209715086408778,0.012029537875178686,-0.0005012474433771508,-0.005758430509506741
2020-01-20,0.005363085796042721,0.0016476403436507248,0.003241986969526172,-0.00021619705438091232
2020-01-21,-0.010143018774528834,-0.0070497003877335596,-0.006417817503758626,-0.005257823803232516
2020-01-22,0.01230527439065221,0.005443142823334579,0.008900409501259504,0.007653339494301811
2020-01-23,-0.00931524975190201,-0.008591267506178668,-0.0035922840088436353,-0.004043805913977325
2020-01-28,-0.030902040398374186,-0.02991452991452992,-0.03155106003583547,-0.019301142487682745
2020-01-29,0.003932522327171339,0.0,0.001871301769125307,0.002988876333975893
2020-01-30,-0.017059598769951778,-0.010156632403328425,-0.009468202639815255,-0.011797690567013222
2020-01-31,-0.013496275605214048,-0.014216837680801064,-0.013513643431569774,-0.0012338726893332999
2020-02-03,-6.134940373103692e-05,-0.011412089290193106,-0.006790555340764888,-0.007012301584703818
2020-02-04,0.018415389262251836,0.026766459469744985,0.015291413338107112,0.004278263752735818
2020-02-05,0.0035821863849112567,0.012972572275759875,0.0010250579513658728,-0.0012376296198653896
2020-02-06,0.028772227942908124,0.020246371508720662,0.03099548392192966,0.024513631440497917
2020-02-07,-0.0071770334928230595,-0.008368200836820106,-0.00724594575069863,-0.006507426314779442
2020-02-10,-0.004918736861140416,-0.0012055455093429313,-0.0012509938417075825,0.00014867138535612991
2020-02-11,0.010017854952363958,0.012190706095352999,0.013396257631589817,0.012530183110159339
2020-02-12,0.0068642268523517735,-0.003100405437634124,0.007317914522602325,0.021472708522683848
2020-02-13,-0.0024213940439067327,0.0016746411483252732,-0.004601173891918408,0.0003298714903111066
2020-02-14,0.004760497277156883,0.009195127776450818,-0.0018442356519858102,-0.0011906732030971161
2020-02-17,-0.000632914213381297,-0.004733167672464789,-0.0007967155357430604,0.006281708922255276
2020-02-18,-0.01484722389470916,-0.008916894542860487,-0.007818261037777413,-0.00313856047106907
